Ti,Te,Rdif,Rdir,precip,ws,wd
23.5,-2.9,0.0,0.0,0.0,5.1,281.0
23.35,-2.9,0.0,0.0,0.0,4.3,280.0
23.3,-3.0,0.0,0.0,0.0,5.9,295.0
23.25,-3.3,0.0,0.0,0.0,4.1,285.0
23.15,-3.7,0.0,0.0,0.0,5.4,287.0
23.05,-3.9,0.0,0.0,0.0,4.8,286.0
23.1,-4.5,0.0,0.0,0.0,4.5,282.0
23.25,-4.6,1.0,0.0,0.0,5.2,274.0
23.15,-4.7,24.0,1.0,0.0,5.0,279.0
22.95,-4.8,120.0,31.0,0.0,3.8,267.0
23.0,-4.3,63.0,205.0,0.0,3.6,285.0
23.1,-2.7,64.0,288.0,0.0,4.1,289.0
23.1,-0.8,69.0,325.0,0.0,3.7,303.0
23.0,0.8,71.0,327.0,0.0,3.2,292.0
22.799999999999997,2.1,62.0,292.0,0.0,3.0,296.0
22.6,3.5,55.0,222.0,0.0,2.0,296.0
22.45,2.4,52.0,127.0,0.0,4.2,235.0
22.4,1.4,47.0,39.0,0.0,3.6,230.0
22.25,-0.9,1.0,0.0,0.0,4.0,246.0
22.1,-2.9,0.0,0.0,0.0,4.3,239.0
22.35,-3.1,0.0,0.0,0.0,4.8,236.0
22.65,-2.4,0.0,0.0,0.0,5.9,233.0
22.7,-3.8,0.0,0.0,0.0,5.6,218.0
22.6,-3.7,0.0,0.0,0.0,6.0,224.0
22.4,-4.3,0.0,0.0,0.0,5.7,225.0
22.200000000000003,-3.5,0.0,0.0,0.0,8.4,228.0
22.05,-3.2,0.0,0.0,0.0,8.9,226.0
21.95,-2.7,0.0,0.0,0.0,8.9,234.0
21.85,-2.5,0.0,0.0,0.0,9.8,233.0
21.8,-2.2,0.0,0.0,0.0,10.0,233.0
21.950000000000003,-2.3,0.0,0.0,0.0,9.9,233.0
22.200000000000003,-2.0,0.0,0.0,0.0,9.7,242.0
22.3,-1.7,10.0,0.0,0.0,8.4,250.0
22.3,-1.5,54.0,1.0,0.0,7.3,244.0
22.3,-1.4,154.0,1.0,0.2,6.7,237.0
22.450000000000003,-0.6,240.0,27.0,0.0,6.4,263.0
