Ti,Te,Rdif,Rdir,precip,ws,wd
22.3,3.1,0.0,0.0,0.6,2.6,170.0
22.25,3.7,0.0,0.0,0.0,2.6,180.0
22.15,3.9,0.0,0.0,0.2,2.6,190.0
22.15,3.9,0.0,0.0,0.6,3.1,210.0
22.2,3.5,0.0,0.0,0.0,2.6,220.0
22.2,3.9,0.0,0.0,0.0,3.1,190.0
22.2,3.7,0.0,0.0,0.0,2.1,190.0
22.25,3.7,0.0,0.0,0.0,2.1,180.0
22.200000000000003,3.6,0.0,0.0,0.0,1.0,200.0
22.0,3.7,6.0,0.0,0.0,1.5,190.0
22.0,3.7,28.0,1.0,0.0,1.0,210.0
22.200000000000003,3.7,41.0,1.0,0.0,0.0,0.0
22.25,4.0,32.0,1.0,0.0,0.0,0.0
22.2,4.1,39.0,1.0,0.0,1.0,140.0
22.2,3.8,1.0,1.0,0.0,1.5,90.0
22.25,3.7,2.0,1.0,0.0,1.0,100.0
22.35,3.3,0.0,0.0,0.5,1.0,50.0
22.4,3.0,0.0,0.0,1.7,1.5,70.0
22.4,3.0,0.0,0.0,1.7,1.0,30.0
22.5,2.7,0.0,0.0,1.7,2.1,20.0
22.6,2.7,0.0,0.0,0.9,2.6,10.0
22.55,2.5,0.0,0.0,0.5,2.6,350.0
22.5,2.0,0.0,0.0,0.5,3.1,320.0
22.45,1.4,0.0,0.0,0.1,3.1,320.0
22.299999999999997,1.3,0.0,0.0,0.0,2.6,290.0
22.15,1.3,0.0,0.0,0.0,2.6,280.0
22.1,1.3,0.0,0.0,0.0,2.1,280.0
22.05,1.1,0.0,0.0,0.0,2.6,270.0
22.0,0.9,0.0,0.0,0.0,1.5,310.0
22.0,0.6,0.0,0.0,0.0,1.5,310.0
21.95,0.5,0.0,0.0,0.0,0.0,0.0
22.0,0.4,0.0,0.0,0.0,2.1,280.0
22.1,0.3,0.0,0.0,0.0,2.6,280.0
22.0,-0.3,13.0,1.0,0.4,2.6,340.0
22.0,-0.7,32.0,4.0,0.0,2.6,340.0
22.15,-0.7,34.0,1.0,0.0,2.1,340.0
22.15,-0.4,40.0,0.0,0.0,1.5,310.0
22.0,-0.3,23.0,1.0,0.0,1.5,320.0
21.799999999999997,-0.6,24.0,1.0,0.0,1.5,350.0
21.7,-0.5,8.0,1.0,0.0,1.5,300.0
21.799999999999997,-0.7,0.0,0.0,0.0,2.6,310.0
21.799999999999997,-1.1,0.0,0.0,0.0,2.1,320.0
21.75,-1.4,0.0,0.0,0.0,2.6,350.0
21.9,-1.6,0.0,0.0,0.0,1.5,350.0
22.05,-1.8,0.0,0.0,0.0,2.1,350.0
22.1,-2.1,0.0,0.0,0.0,2.6,320.0
22.05,-2.2,0.0,0.0,0.0,1.0,280.0
21.95,-2.2,0.0,0.0,0.0,1.0,340.0
21.85,-2.4,0.0,0.0,0.0,0.0,0.0
21.75,-2.6,0.0,0.0,0.0,1.5,330.0
21.65,-2.8,0.0,0.0,0.0,1.0,280.0
21.55,-3.0,0.0,0.0,0.0,0.0,0.0
21.5,-3.2,0.0,0.0,0.0,1.0,340.0
21.5,-3.5,0.0,0.0,0.0,1.0,280.0
21.55,-3.5,0.0,0.0,0.0,0.0,0.0
21.6,-3.5,0.0,0.0,0.0,0.0,0.0
21.55,-3.3,0.0,0.0,0.0,1.0,80.0
21.45,-3.3,6.0,1.0,0.0,2.6,140.0
21.45,-4.0,16.0,1.0,0.0,2.6,150.0
21.5,-3.8,40.0,0.0,0.0,1.5,130.0
21.45,-3.8,38.0,1.0,0.0,2.1,140.0
21.4,-3.9,36.0,1.0,0.0,2.1,90.0
21.4,-4.0,23.0,1.0,0.0,2.6,130.0
21.35,-4.4,11.0,1.0,0.0,2.1,140.0
21.4,-4.3,0.0,0.0,0.0,2.6,80.0
21.45,-4.4,0.0,0.0,0.0,2.6,100.0
21.45,-4.1,0.0,0.0,0.0,2.6,80.0
21.6,-3.9,0.0,0.0,0.0,2.1,80.0
21.7,-4.2,0.0,0.0,0.0,3.6,110.0
21.75,-4.2,0.0,0.0,0.0,3.1,80.0
21.8,-4.0,0.0,0.0,0.0,3.1,60.0
21.75,-3.7,0.0,0.0,0.0,3.1,90.0
21.549999999999997,-3.5,0.0,0.0,0.0,3.1,80.0
21.4,-3.4,0.0,0.0,0.0,3.6,80.0
21.4,-3.2,0.0,0.0,0.0,3.1,60.0
21.35,-3.2,0.0,0.0,0.0,4.6,50.0
21.25,-2.9,0.0,0.0,0.0,5.1,60.0
21.15,-2.6,0.0,0.0,0.0,5.7,60.0
21.200000000000003,-2.6,0.0,0.0,0.0,6.2,60.0
21.35,-2.5,0.0,0.0,0.0,5.7,60.0
21.4,-2.7,0.0,0.0,0.3,4.6,50.0
21.35,-3.0,5.0,1.0,0.7,4.6,40.0
21.35,-3.0,15.0,1.0,0.5,4.1,40.0
21.4,-2.7,27.0,0.0,0.9,4.1,40.0
21.4,-2.6,21.0,1.0,0.4,4.1,40.0
21.4,-2.3,18.0,1.0,0.1,3.6,30.0
21.4,-2.2,22.0,0.0,0.2,3.6,40.0
21.4,-2.3,10.0,0.0,0.2,3.6,30.0
21.549999999999997,-2.5,0.0,0.0,0.0,3.6,30.0
21.6,-2.5,0.0,0.0,0.0,2.6,20.0
21.6,-2.6,0.0,0.0,0.0,2.6,20.0
21.75,-2.7,0.0,0.0,0.0,2.6,20.0
21.85,-3.0,0.0,0.0,0.0,2.1,360.0
21.9,-3.2,0.0,0.0,0.0,3.1,360.0
21.95,-3.7,0.0,0.0,0.0,3.1,340.0
21.95,-4.2,0.0,0.0,0.0,2.1,340.0
21.75,-4.5,0.0,0.0,0.0,3.1,340.0
21.55,-5.2,0.0,0.0,0.0,2.6,330.0
21.45,-5.8,0.0,0.0,0.0,2.6,330.0
21.4,-6.3,0.0,0.0,0.0,3.1,330.0
21.35,-6.4,0.0,0.0,0.0,1.5,340.0
21.25,-5.8,0.0,0.0,0.0,1.5,350.0
21.15,-5.4,0.0,0.0,0.0,1.0,340.0
21.05,-4.6,0.0,0.0,0.0,3.6,20.0
21.1,-4.6,0.0,0.0,0.0,3.1,10.0
21.45,-4.7,8.0,1.0,0.0,2.6,30.0
21.95,-5.5,39.0,1.0,0.0,3.1,30.0
22.45,-5.9,65.0,1.0,0.0,3.6,50.0
22.65,-5.6,72.0,1.0,0.0,2.6,40.0
23.0,-6.7,65.0,1.0,0.0,3.6,20.0
23.299999999999997,-6.5,33.0,0.0,0.0,3.6,30.0
23.1,-6.6,14.0,1.0,0.0,3.1,30.0
22.9,-6.7,0.0,0.0,0.0,3.1,50.0
22.65,-6.5,0.0,0.0,0.0,2.6,50.0
22.45,-6.7,0.0,0.0,0.0,4.6,40.0
22.45,-6.6,0.0,0.0,0.0,3.1,50.0
22.45,-6.9,0.0,0.0,0.0,4.1,40.0
22.299999999999997,-6.9,0.0,0.0,0.0,4.1,40.0
22.2,-6.5,0.0,0.0,0.0,5.1,40.0
22.1,-6.3,0.0,0.0,0.0,5.1,40.0
21.9,-5.9,0.0,0.0,0.0,5.1,40.0
21.65,-5.6,0.0,0.0,0.0,5.1,40.0
21.45,-5.7,0.0,0.0,0.0,4.6,40.0
21.4,-5.4,0.0,0.0,0.0,3.1,40.0
21.4,-5.7,0.0,0.0,0.0,4.1,50.0
