Ti,Te,Rdif,Rdir,precip,ws,wd
23.5,-14.6,0.0,0.0,0.0,0.7,254.0
23.35,-13.6,0.0,0.0,0.0,1.7,217.0
23.25,-12.5,0.0,0.0,0.0,0.9,211.0
23.15,-11.1,0.0,0.0,0.0,0.9,135.0
23.0,-9.3,0.0,0.0,0.0,1.0,142.0
22.85,-8.2,0.0,0.0,0.0,1.9,160.0
22.700000000000003,-6.8,0.0,0.0,0.0,1.1,153.0
22.65,-5.3,0.0,0.0,0.0,1.5,144.0
22.65,-4.5,0.0,0.0,0.0,3.3,195.0
22.55,-4.7,8.0,1.0,0.0,4.1,186.0
22.4,-4.4,21.0,-1.0,0.0,4.8,200.0
22.3,-2.8,30.0,0.0,0.0,5.5,212.0
22.3,-2.3,42.0,0.0,0.0,7.0,230.0
22.25,-2.8,36.0,1.0,0.0,6.6,257.0
22.15,-2.9,41.0,1.0,0.0,5.5,244.0
22.0,-2.7,34.0,1.0,0.3,4.6,246.0
21.85,-2.7,24.0,1.0,0.3,4.1,242.0
21.700000000000003,-2.2,0.0,0.0,0.0,5.2,251.0
21.6,-2.2,0.0,0.0,0.0,5.2,250.0
21.55,-2.5,0.0,0.0,0.0,4.0,251.0
21.7,-3.0,0.0,0.0,0.0,4.2,253.0
21.95,-2.6,0.0,0.0,0.0,3.1,254.0
22.1,-1.6,0.0,0.0,0.0,2.8,248.0
22.4,-1.1,0.0,0.0,0.0,3.0,238.0
22.75,-1.3,0.0,0.0,0.0,3.4,248.0
22.9,-2.4,0.0,0.0,0.0,2.9,262.0
22.799999999999997,-2.8,0.0,0.0,0.0,3.5,244.0
22.549999999999997,-2.8,0.0,0.0,0.0,2.1,244.0
22.25,-1.0,0.0,0.0,0.0,4.0,267.0
22.05,-0.7,0.0,0.0,0.0,7.1,286.0
21.9,-0.6,0.0,0.0,0.0,6.1,280.0
21.75,-0.6,0.0,0.0,0.0,4.7,282.0
21.65,-1.3,0.0,0.0,0.0,4.6,277.0
21.75,-3.1,9.0,2.0,0.0,3.0,270.0
21.9,-2.5,25.0,53.0,0.0,4.2,271.0
21.9,-0.9,65.0,21.0,0.0,1.4,268.0
21.9,-0.9,66.0,3.0,0.0,2.2,244.0
21.9,-0.8,96.0,3.0,0.0,1.3,228.0
21.9,-0.4,86.0,7.0,0.0,1.4,220.0
21.9,-0.1,42.0,5.0,0.0,0.8,129.0
21.85,-0.6,13.0,1.0,0.0,0.9,148.0
21.75,-2.7,0.0,0.0,0.0,1.9,220.0
21.799999999999997,-2.5,0.0,0.0,0.0,1.6,198.0
21.799999999999997,-1.8,0.0,0.0,0.0,2.0,208.0
21.75,-1.3,0.0,0.0,0.5,2.2,185.0
21.8,-1.1,0.0,0.0,0.3,1.5,191.0
22.1,-1.0,0.0,0.0,0.1,1.5,163.0
22.65,-0.6,0.0,0.0,0.3,2.0,172.0
23.049999999999997,-0.4,0.0,0.0,0.3,1.8,181.0
23.299999999999997,-0.3,0.0,0.0,0.3,1.7,174.0
23.4,-0.2,0.0,0.0,0.2,2.7,191.0
23.4,0.1,0.0,0.0,0.1,2.5,210.0
23.4,0.1,0.0,0.0,0.2,1.9,204.0
23.4,0.1,0.0,0.0,0.2,2.3,220.0
23.35,0.2,0.0,0.0,0.0,2.8,223.0
23.3,0.4,0.0,0.0,0.0,2.7,225.0
23.25,0.4,0.0,0.0,0.0,2.7,242.0
23.25,0.4,3.0,1.0,0.0,3.0,262.0
23.25,0.4,32.0,1.0,0.7,2.4,262.0
23.2,0.7,88.0,2.0,0.0,1.9,271.0
23.25,1.4,63.0,2.0,0.0,3.4,276.0
23.35,1.2,55.0,1.0,0.0,3.8,280.0
23.35,1.1,53.0,1.0,0.0,4.9,287.0
23.25,1.3,33.0,0.0,0.0,3.9,288.0
23.2,0.9,29.0,1.0,0.0,5.7,290.0
23.1,0.7,0.0,0.0,0.0,4.8,294.0
22.95,0.6,0.0,0.0,0.0,3.5,284.0
22.799999999999997,0.6,0.0,0.0,0.0,4.6,282.0
22.65,0.6,0.0,0.0,0.0,4.0,271.0
22.65,0.8,0.0,0.0,0.0,4.7,274.0
22.75,0.0,0.0,0.0,0.0,5.3,279.0
22.85,0.0,0.0,0.0,0.0,2.4,268.0
22.9,-0.3,0.0,0.0,0.0,3.6,266.0
22.85,-0.5,0.0,0.0,0.0,3.5,255.0
22.700000000000003,-0.9,0.0,0.0,0.0,3.7,257.0
22.55,-1.2,0.0,0.0,0.0,2.9,255.0
22.45,-2.1,0.0,0.0,0.0,2.0,232.0
22.25,-2.6,0.0,0.0,0.0,1.0,211.0
22.0,-2.9,0.0,0.0,0.0,1.9,189.0
21.799999999999997,-4.7,0.0,0.0,0.0,2.1,194.0
21.6,-4.6,0.0,0.0,0.0,2.7,168.0
21.55,-4.4,7.0,1.0,0.0,3.0,190.0
21.55,-3.7,23.0,0.0,0.0,2.5,161.0
21.45,-3.1,44.0,0.0,0.7,2.2,135.0
21.35,-2.2,53.0,-1.0,0.6,2.5,140.0
21.3,-1.2,46.0,0.0,0.2,3.6,155.0
21.25,-0.3,39.0,0.0,0.1,4.4,153.0
21.2,0.3,20.0,0.0,0.0,5.1,171.0
21.25,0.2,7.0,0.0,0.7,5.3,175.0
21.35,0.3,0.0,0.0,0.5,5.0,173.0
21.5,0.6,0.0,0.0,0.1,6.1,189.0
21.65,0.8,0.0,0.0,0.2,5.2,202.0
21.75,0.9,0.0,0.0,0.0,6.2,209.0
21.8,1.2,0.0,0.0,0.0,6.5,225.0
22.1,1.1,0.0,0.0,0.0,7.3,235.0
22.7,0.5,0.0,0.0,0.2,7.3,246.0
22.95,0.3,0.0,0.0,0.0,6.3,255.0
22.95,-0.2,0.0,0.0,0.0,7.4,257.0
22.95,-0.6,0.0,0.0,0.4,5.9,255.0
22.75,-1.0,0.0,0.0,0.1,7.5,264.0
22.5,-1.0,0.0,0.0,0.4,7.8,256.0
22.35,-1.0,0.0,0.0,0.2,9.2,265.0
22.25,-0.9,0.0,0.0,0.5,7.5,274.0
22.1,-1.0,0.0,0.0,0.1,6.5,265.0
22.0,-0.8,0.0,0.0,0.0,3.8,268.0
22.0,-0.9,7.0,1.0,0.0,6.1,265.0
22.0,-0.9,34.0,2.0,0.0,5.7,259.0
22.0,-0.2,67.0,2.0,0.0,5.3,248.0
22.0,-0.6,95.0,3.0,0.0,5.7,248.0
21.95,-0.9,94.0,11.0,0.0,5.9,234.0
21.799999999999997,-1.2,64.0,1.0,0.0,5.2,225.0
21.7,-1.3,49.0,2.0,0.0,4.2,230.0
21.65,-1.4,18.0,2.0,0.0,2.5,189.0
21.55,-1.7,0.0,1.0,0.0,3.0,134.0
21.5,-1.3,0.0,0.0,0.0,2.8,132.0
21.55,-1.6,0.0,0.0,0.0,3.3,117.0
21.9,-1.2,0.0,0.0,0.4,3.2,127.0
22.2,-1.1,0.0,0.0,0.3,2.7,127.0
22.1,-1.1,0.0,0.0,0.4,2.6,117.0
22.05,-1.2,0.0,0.0,0.1,2.0,122.0
22.3,-1.3,0.0,0.0,0.0,1.5,86.0
22.35,-1.2,0.0,0.0,0.0,1.2,94.0
22.15,-1.4,0.0,0.0,0.0,0.7,45.0
22.05,-1.4,0.0,0.0,0.0,1.3,72.0
21.95,-1.4,0.0,0.0,0.0,1.2,347.0
21.85,-1.6,0.0,0.0,0.0,0.0,0.0
21.85,-1.7,0.0,0.0,0.0,0.8,16.0
21.95,-1.8,0.0,0.0,0.0,0.9,3.0
22.0,-2.0,0.0,0.0,0.0,0.7,25.0
21.95,-2.0,3.0,1.0,0.0,0.7,57.0
21.95,-1.9,17.0,1.0,0.0,1.1,16.0
21.95,-2.0,31.0,1.0,0.0,0.9,23.0
21.9,-1.7,43.0,1.0,0.0,1.6,17.0
21.85,-1.5,64.0,1.0,0.0,0.9,8.0
21.75,-1.4,44.0,1.0,0.0,0.0,0.0
21.65,-1.9,22.0,0.0,0.0,1.3,345.0
21.6,-2.0,12.0,1.0,0.0,2.0,15.0
21.6,-2.3,0.0,0.0,0.0,0.8,17.0
